% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
1.25	1.5	3	17	14	3	12	648	13	702	0.0110055	0.0022532	0.00592857	0.0119286	54	0	54	54	
1.25	1.5	3	18	2	3	17	918	16	864	0.0113661	0.00163172	0.00592857	0.0119286	54	0	54	54	
1.25	1.5	3	19	1	3	22	1188	20	1080	0.0105286	0.00228035	0.00592857	0.0119286	54	0	54	54	
1.25	1.5	3	20	29	3	22	1188	19	1026	0.0219812	0.00492695	0.0119286	0.0259286	54	0	54	54	
1.25	1.5	3	21	15	3	22	1188	21	1134	0.0110714	0.00210442	0.00492857	0.0119286	54	0	54	54	
1.25	1.5	3	22	28	3	8	432	7	378	0.0250714	0.0048795	0.0189286	0.0329286	54	0	54	54	
1.25	1.5	3	23	30	3	17	918	17	918	0.0193403	0.00578855	0.0119286	0.0259286	54	0	54	54	
1.25	1.5	3	24	23	3	10	540	11	594	0.0119286	0	0.0119286	0.0119286	54	0	54	54	
1.25	1.5	3	25	4	3	22	1188	20	1080	0.0114786	0.00139454	0.00592857	0.0119286	54	0	54	54	
1.25	1.5	3	26	16	3	21	1134	20	1080	0.0108286	0.00197084	0.00492857	0.0119286	54	0	54	54	
1.25	1.5	3	27	24	3	22	1188	22	1188	0.0109286	0.002	0.00592857	0.0119286	54	0	54	54	
1.25	1.5	3	28	26	3	16	864	16	864	0.0119911	0.00025	0.0119286	0.0129286	54	0	54	54	
1.25	1.5	3	29	3	3	22	1188	23	1242	0.011059	0.00284931	0.00492857	0.0189286	54	0	54	54	
1.25	1.5	3	30	25	3	17	918	16	864	0.0115536	0.00178419	0.00492857	0.0129286	54	0	54	54	
1.5	1.75	1	1	12	3	24	1496	23	1394	0.0144068	0.00522119	0.0109286	0.0259286	60.6087	7.8725	54	78	
1.5	1.75	1	2	1	3	11	594	12	648	0.0119286	0	0.0119286	0.0119286	54	0	54	54	
1.5	1.75	1	3	14	3	25	1686	25	1662	0.00968857	0.00333267	0.00492857	0.0119286	66.48	11.3325	54	78	
1.5	1.75	1	4	18	3	23	1386	24	1416	0.0153036	0.0070576	0.00792857	0.0259286	59	6.5938	54	78	
1.5	1.75	1	5	15	3	15	834	15	834	0.0109952	0.00246306	0.00492857	0.0119286	55.6	3.31231	54	62	
1.5	1.75	1	6	23	3	25	1734	25	1710	0.0103286	0.00238048	0.00692857	0.0119286	68.4	11.0755	54	78	
1.5	1.75	1	7	25	3	12	648	11	594	0.0119286	0	0.0119286	0.0119286	54	0	54	54	
1.5	1.75	1	8	17	3	40	2904	40	2856	0.0100536	0.00201517	0.00692857	0.0119286	71.4	8.66706	54	78	
1.5	1.75	1	9	26	3	39	2770	37	2646	0.0101988	0.00200899	0.00792857	0.0119286	71.5135	8.60756	54	78	
1.5	1.75	1	10	3	3	28	2016	27	1914	0.0104471	0.00196841	0.00792857	0.0119286	70.8889	10.2482	54	78	
1.5	1.75	1	11	24	3	37	2694	38	2748	0.0109023	0.00119655	0.00892857	0.0119286	72.3158	9.09442	54	78	
1.5	1.75	1	12	4	3	43	2954	42	2884	0.0087619	0.0030597	0.00492857	0.0119286	68.6667	7.68485	54	78	
1.5	1.75	1	13	16	3	26	1836	27	1890	0.0100026	0.00257093	0.00592857	0.0119286	70	10.641	54	78	
1.5	1.75	1	14	2	3	24	1560	22	1404	0.0116558	0.000455842	0.0109286	0.0119286	63.8182	11.0222	54	78	
1.5	1.75	1	15	13	3	25	1646	23	1490	0.0137547	0.00514032	0.00892857	0.0259286	64.7826	10.6811	54	78	
1.5	1.75	3	16	17	3	12	648	12	648	0.0119286	0	0.0119286	0.0119286	54	0	54	54	
1.5	1.75	3	17	14	3	16	904	15	842	0.0112619	0.00175933	0.00692857	0.0119286	56.1333	3.6619	54	62	
1.5	1.75	3	18	2	3	26	1836	27	1890	0.0101138	0.00241847	0.00692857	0.0119286	70	10.641	54	78	
1.5	1.75	3	19	1	3	39	2818	39	2802	0.0107491	0.00183349	0.00692857	0.0119286	71.8462	8.88979	54	78	
1.5	1.75	3	20	29	3	36	2488	37	2494	0.0150637	0.00603767	0.00892857	0.0259286	67.4054	10.3373	54	78	
1.5	1.75	3	21	15	3	39	2730	37	2550	0.0118745	0.000229243	0.0109286	0.0119286	68.9189	9.64474	54	78	
1.5	1.75	3	22	28	3	9	486	9	486	0.0165952	0.0035	0.0119286	0.0189286	54	0	54	54	
1.5	1.75	3	23	30	3	23	1490	22	1388	0.0137013	0.0055629	0.00792857	0.0259286	63.0909	10.2674	54	78	
1.5	1.75	3	24	23	3	12	648	12	648	0.0119286	0	0.0119286	0.0119286	54	0	54	54	
1.5	1.75	3	25	4	3	38	2708	39	2754	0.0115952	0.000477567	0.0109286	0.0119286	70.6154	9.24695	54	78	
1.5	1.75	3	26	16	3	27	1938	27	1890	0.00881746	0.00354459	0.00492857	0.0119286	70	10.641	54	78	
1.5	1.75	3	27	24	3	40	2808	39	2738	0.00972344	0.00231902	0.00692857	0.0119286	70.2051	7.67491	54	78	
1.5	1.75	3	28	26	3	25	1662	25	1662	0.0121686	0.00247117	0.00992857	0.0189286	66.48	11.3325	54	78	
1.5	1.75	3	29	3	3	43	3074	42	3004	0.0100714	0.00192	0.00792857	0.0119286	71.5238	7.94873	54	78	
1.5	1.75	3	30	25	3	27	1914	26	1812	0.0109286	0.00141421	0.00892857	0.0119286	69.6923	10.7285	54	78	
1.75	2	1	1	12	3	35	2498	34	2468	0.0180168	0.00498706	0.00692857	0.0259286	72.5882	7.29515	62	78	
1.75	2	1	2	1	3	24	1736	24	1736	0.0110952	0.00205715	0.00492857	0.0119286	72.3333	8.66109	54	78	
1.75	2	1	3	14	3	34	2524	35	2602	0.0105857	0.00201382	0.00492857	0.0119286	74.3429	4.04346	70	78	
1.75	2	1	4	18	3	35	2522	35	2538	0.0158714	0.00631032	0.00492857	0.0259286	72.5143	7.45722	62	78	
