% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.058	3	19	106	9	1	22	1383	0	0	1
1.059	3	29	106	10	3	22	1383	0	0	0
1.059	3	29	106	10	3	22	1383	0	0	1
1.06	1	8	107	1	17	26	1836	0	0	0
1.06	1	6	107	1	23	24	1620	0	0	1
1.06	3	18	107	1	2	26	1836	0	0	0
1.061	1	14	107	2	2	24	1620	0	0	0
1.061	1	11	107	2	24	24	1620	0	0	1
1.061	3	21	107	2	15	26	1836	0	0	0
1.061	3	17	107	2	14	22	1383	0	0	1
1.062	1	12	107	3	4	24	1620	0	0	0
1.062	1	5	107	3	15	22	1383	0	0	1
1.062	3	25	107	3	4	24	1620	0	0	0
1.062	3	26	107	3	16	22	1383	0	0	1
1.063	1	11	107	4	24	14	775	0	0	0
1.063	1	13	107	4	16	22	1383	0	0	1
1.063	3	26	107	4	16	14	775	0	0	0
1.063	3	27	107	4	24	22	1383	0	0	1
1.064	1	3	107	5	14	24	1620	0	0	0
1.064	3	28	107	5	26	24	1620	0	0	0
1.065	1	9	107	6	26	26	1836	0	0	0
1.065	1	10	107	6	3	20	1191	0	0	1
1.065	3	19	107	6	1	22	1383	0	0	0
1.066	1	10	107	7	3	12	597	0	0	0
1.066	1	4	107	7	18	24	1620	0	0	1
1.066	3	27	107	7	24	14	775	0	0	0
1.066	3	30	107	7	25	20	1191	0	0	1
1.067	1	5	107	8	15	22	1383	0	0	0
1.067	1	7	107	8	25	20	1191	0	0	1
1.067	3	22	107	8	28	20	1191	0	0	0
1.067	3	22	107	8	28	20	1191	0	0	1
1.068	1	6	107	9	23	24	1620	0	0	0
1.068	1	11	107	9	24	24	1620	0	0	1
1.068	3	17	107	9	14	22	1383	0	0	0
1.068	3	17	107	9	14	22	1383	0	0	1
1.069	1	15	107	10	13	12	597	0	0	0
1.069	1	5	107	10	15	22	1383	0	0	1
1.069	3	30	107	10	25	12	597	0	0	0
1.069	3	26	107	10	16	22	1383	0	0	1
1.07	1	13	108	1	16	12	597	0	0	0
1.07	1	13	108	1	16	22	1383	0	0	1
1.07	3	23	108	1	30	12	597	0	0	0
1.07	3	27	108	1	24	22	1383	0	0	1
1.071	1	7	108	2	25	20	1191	0	0	0
1.071	1	15	108	2	13	12	597	0	0	1
1.071	3	16	108	2	17	20	1191	0	0	0
1.071	3	20	108	2	29	14	775	0	0	1
1.072	1	1	108	3	12	24	1620	0	0	0
1.072	1	2	108	3	1	20	1191	0	0	1
1.072	3	24	108	3	23	20	1191	0	0	0
1.072	3	23	108	3	30	12	597	0	0	1
1.073	1	2	108	4	1	8	421	0	0	0
1.073	1	4	108	4	18	24	1620	0	0	1
1.073	3	20	108	4	29	14	775	0	0	0
1.073	3	30	108	4	25	20	1191	0	0	1
1.074	1	4	108	5	18	12	597	0	0	0
1.074	1	1	108	5	12	24	1620	0	0	1
1.074	3	16	108	5	17	20	1191	0	0	1
1.075	3	24	108	6	23	20	1191	0	0	1
1.079	1	1	108	10	12	24	1620	0	0	0
1.079	1	2	108	10	1	20	1191	0	0	1
1.079	3	24	108	10	23	20	1191	0	0	0
1.086	3	24	109	7	23	20	1191	0	0	0
1.094	3	29	110	5	3	22	1383	0	0	0
1.094	3	29	110	5	3	22	1383	0	0	1
1.095	1	6	110	6	23	24	1620	0	0	0
1.095	1	8	110	6	17	26	1836	0	0	1
1.095	3	18	110	6	2	26	1836	0	0	0
1.095	3	18	110	6	2	26	1836	0	0	1
1.096	1	14	110	7	2	24	1620	0	0	0
1.096	1	14	110	7	2	24	1620	0	0	1
