% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.504	2	11	24	10.6041	1
0.504	3	27	24	6.3546	0
0.504	4	27	24	6.3546	1
0.505	1	7	25	6.0644	0
0.505	2	7	25	6.0644	1
0.505	3	30	25	1.80733	0
0.505	4	30	25	1.80733	1
0.506	1	9	26	6.30022	0
0.506	2	9	26	6.30022	1
0.506	3	28	26	7.72537	0
0.506	4	28	26	7.72537	1
0.508	3	22	28	525.815	0
0.508	4	22	28	525.815	1
0.509	3	20	29	1788.56	0
0.509	4	20	29	1788.56	1
0.51	3	23	30	1322.68	0
0.51	4	23	30	1322.68	1
0.561	1	2	1	5.62932	0
0.561	2	2	1	5.62932	1
0.561	3	19	1	2.47669	0
0.561	4	19	1	2.47669	1
0.562	1	14	2	3.36676	0
0.562	2	14	2	3.36676	1
0.562	3	18	2	7.74971	0
0.562	4	18	2	7.74971	1
0.563	1	10	3	4.96384	0
0.563	2	10	3	4.96384	1
0.563	3	29	3	8.53659	0
0.563	4	29	3	8.53659	1
0.564	1	12	4	10.9662	0
0.564	2	12	4	10.9662	1
0.564	3	25	4	5.43981	0
0.564	4	25	4	5.43981	1
0.572	1	1	12	1178.89	0
0.572	2	1	12	1178.89	1
0.573	1	15	13	508.434	0
0.573	2	15	13	508.434	1
0.574	1	3	14	6.68445	0
0.574	2	3	14	6.68445	1
0.574	3	17	14	3.22634	0
0.574	4	17	14	3.22634	1
0.575	1	5	15	3.05147	0
0.575	2	5	15	3.05147	1
0.575	3	21	15	8.724	0
0.575	4	21	15	8.724	1
0.576	1	13	16	6.72248	0
0.576	2	13	16	6.72248	1
0.576	3	26	16	5.64882	0
0.576	4	26	16	5.64882	1
0.577	1	8	17	4.91093	0
0.577	2	8	17	4.91093	1
0.577	3	16	17	2.64884	0
0.577	4	16	17	2.64884	1
0.578	1	4	18	1142.15	0
0.578	2	4	18	1142.15	1
0.583	1	6	23	5.13953	0
0.583	2	6	23	5.13953	1
0.583	3	24	23	2.64361	0
0.583	4	24	23	2.64361	1
0.584	1	11	24	10.5414	0
0.584	2	11	24	10.5414	1
0.584	3	27	24	6.31295	0
0.584	4	27	24	6.31295	1
0.585	1	7	25	6.04405	0
0.585	2	7	25	6.04405	1
0.585	3	30	25	1.808	0
0.585	4	30	25	1.808	1
0.586	1	9	26	6.29671	0
0.586	2	9	26	6.29671	1
0.586	3	28	26	7.67116	0
0.586	4	28	26	7.67116	1
0.588	3	22	28	518.987	0
0.588	4	22	28	518.987	1
0.589	3	20	29	1768.75	0
0.589	4	20	29	1768.75	1
0.59	3	23	30	1333.62	0
0.59	4	23	30	1333.62	1
0.641	1	2	1	5.58608	0
0.641	2	2	1	5.58608	1
0.641	3	19	1	2.47873	0
0.641	4	19	1	2.47873	1
0.642	1	14	2	3.38862	0
0.642	2	14	2	3.38862	1
0.642	3	18	2	7.7869	0
0.642	4	18	2	7.7869	1
0.643	1	10	3	4.96568	0
0.643	2	10	3	4.96568	1
0.643	3	29	3	8.51874	0
0.643	4	29	3	8.51874	1
0.644	1	12	4	10.9747	0
0.644	2	12	4	10.9747	1
0.644	3	25	4	5.41039	0
0.644	4	25	4	5.41039	1
0.652	1	1	12	1165.02	0
0.652	2	1	12	1165.02	1
0.653	1	15	13	507.635	0
0.653	2	15	13	507.635	1
0.654	1	3	14	6.68075	0
0.654	2	3	14	6.68075	1
0.654	3	17	14	3.28087	0
0.654	4	17	14	3.28087	1
0.655	1	5	15	3.02642	0
0.655	2	5	15	3.02642	1
0.655	3	21	15	8.70285	0
0.655	4	21	15	8.70285	1
0.656	1	13	16	6.78851	0
0.656	2	13	16	6.78851	1
0.656	3	26	16	5.62006	0
0.656	4	26	16	5.62006	1
0.657	1	8	17	4.89523	0
0.657	2	8	17	4.89523	1
0.657	3	16	17	2.66395	0
0.657	4	16	17	2.66395	1
0.658	1	4	18	1133.85	0
0.658	2	4	18	1133.85	1
0.663	1	6	23	5.10909	0
0.663	2	6	23	5.10909	1
0.663	3	24	23	2.62012	0
0.663	4	24	23	2.62012	1
0.664	1	11	24	10.6674	0
0.664	2	11	24	10.6674	1
0.664	3	27	24	6.26947	0
0.664	4	27	24	6.26947	1
0.665	1	7	25	5.97222	0
0.665	2	7	25	5.97222	1
0.665	3	30	25	1.8412	0
0.665	4	30	25	1.8412	1
0.666	1	9	26	6.38719	0
0.666	2	9	26	6.38719	1
0.666	3	28	26	7.68345	0
0.666	4	28	26	7.68345	1
0.668	3	22	28	512.615	0
0.668	4	22	28	512.615	1
0.669	3	20	29	1748.24	0
0.669	4	20	29	1748.24	1
0.67	3	23	30	1319.3	0
0.67	4	23	30	1319.3	1
0.721	1	2	1	5.5142	0
0.721	2	2	1	5.5142	1
0.721	3	19	1	2.48986	0
0.721	4	19	1	2.48986	1
0.722	1	14	2	3.45441	0
0.722	2	14	2	3.45441	1
0.722	3	18	2	7.87913	0
0.722	4	18	2	7.87913	1
0.723	1	10	3	5.02241	0
0.723	2	10	3	5.02241	1
0.723	3	29	3	8.45153	0
0.723	4	29	3	8.45153	1
0.724	1	12	4	11.0865	0
0.724	2	12	4	11.0865	1
0.724	3	25	4	5.34765	0
0.724	4	25	4	5.34765	1
0.732	1	1	12	1158.03	0
0.732	2	1	12	1158.03	1
0.733	1	15	13	504.551	0
0.733	2	15	13	504.551	1
0.734	1	3	14	6.65174	0
0.734	2	3	14	6.65174	1
0.734	3	17	14	3.31615	0
0.734	4	17	14	3.31615	1
0.735	1	5	15	3.02251	0
0.735	2	5	15	3.02251	1
0.735	3	21	15	8.70321	0
0.735	4	21	15	8.70321	1
0.736	1	13	16	6.83451	0
0.736	2	13	16	6.83451	1
0.736	3	26	16	5.60823	0
0.736	4	26	16	5.60823	1
0.737	1	8	17	4.83218	0
0.737	2	8	17	4.83218	1
0.737	3	16	17	2.6418	0
0.737	4	16	17	2.6418	1
0.738	1	4	18	1130.9	0
0.738	2	4	18	1130.9	1
0.743	1	6	23	5.03199	0
0.743	2	6	23	5.03199	1
0.743	3	24	23	2.61242	0
0.743	4	24	23	2.61242	1
0.744	1	11	24	10.7269	0
0.744	2	11	24	10.7269	1
0.744	3	27	24	6.24985	0
0.744	4	27	24	6.24985	1
0.745	1	7	25	6.00142	0
0.745	2	7	25	6.00142	1
0.745	3	30	25	1.84695	0
0.745	4	30	25	1.84695	1
0.746	1	9	26	6.42295	0
0.746	2	9	26	6.42295	1
0.746	3	28	26	7.64866	0
0.746	4	28	26	7.64866	1
0.748	3	22	28	514.278	0
0.748	4	22	28	514.278	1
0.749	3	20	29	1731.91	0
0.749	4	20	29	1731.91	1
0.75	3	23	30	1299.93	0
0.75	4	23	30	1299.93	1
0.801	1	2	1	5.51657	0
0.801	2	2	1	5.51657	1
0.801	3	19	1	2.48946	0
0.801	4	19	1	2.48946	1
0.802	1	14	2	3.46459	0
0.802	2	14	2	3.46459	1
0.802	3	18	2	8.05454	0
0.802	4	18	2	8.05454	1
0.803	1	10	3	5.03382	0
0.803	2	10	3	5.03382	1
0.803	3	29	3	8.55117	0
0.803	4	29	3	8.55117	1
0.804	1	12	4	11.2218	0
0.804	2	12	4	11.2218	1
0.804	3	25	4	5.2389	0
0.804	4	25	4	5.2389	1
0.812	1	1	12	1169.09	0
0.812	2	1	12	1169.09	1
0.813	1	15	13	504.394	0
0.813	2	15	13	504.394	1
0.814	1	3	14	6.60208	0
0.814	2	3	14	6.60208	1
0.814	3	17	14	3.28493	0
0.814	4	17	14	3.28493	1
0.815	1	5	15	3.02249	0
0.815	2	5	15	3.02249	1
0.815	3	21	15	8.72458	0
0.815	4	21	15	8.72458	1
0.816	1	13	16	6.80304	0
0.816	2	13	16	6.80304	1
0.816	3	26	16	5.66174	0
0.816	4	26	16	5.66174	1
0.817	1	8	17	4.76368	0
0.817	2	8	17	4.76368	1
0.817	3	16	17	2.60897	0
0.817	4	16	17	2.60897	1
0.818	1	4	18	1145.28	0
0.818	2	4	18	1145.28	1
0.823	1	6	23	4.97032	0
0.823	2	6	23	4.97032	1
0.823	3	24	23	2.60856	0
0.823	4	24	23	2.60856	1
0.824	1	11	24	10.7395	0
0.824	2	11	24	10.7395	1
0.824	3	27	24	6.22138	0
0.824	4	27	24	6.22138	1
0.825	1	7	25	6.10563	0
0.825	2	7	25	6.10563	1
0.825	3	30	25	1.82773	0
0.825	4	30	25	1.82773	1
0.826	1	9	26	6.36669	0
0.826	2	9	26	6.36669	1
0.826	3	28	26	7.57452	0
0.826	4	28	26	7.57452	1
0.828	3	22	28	517.167	0
0.828	4	22	28	517.167	1
0.829	3	20	29	1715.95	0
0.829	4	20	29	1715.95	1
0.83	3	23	30	1294.79	0
0.83	4	23	30	1294.79	1
0.881	1	2	1	5.58651	0
0.881	2	2	1	5.58651	1
0.881	3	19	1	2.50599	0
0.881	4	19	1	2.50599	1
0.882	1	14	2	3.42391	0
0.882	2	14	2	3.42391	1
0.882	3	18	2	7.98274	0
0.882	4	18	2	7.98274	1
0.883	1	10	3	5.09564	0
0.883	2	10	3	5.09564	1
0.883	3	29	3	8.54679	0
0.883	4	29	3	8.54679	1
0.884	1	12	4	11.4766	0
0.884	2	12	4	11.4766	1
0.884	3	25	4	5.13842	0
0.884	4	25	4	5.13842	1
0.892	1	1	12	1187.81	0
0.892	2	1	12	1187.81	1
0.893	1	15	13	509.893	0
0.893	2	15	13	509.893	1
0.894	1	3	14	6.48916	0
0.894	2	3	14	6.48916	1
0.894	3	17	14	3.25279	0
0.894	4	17	14	3.25279	1
0.895	1	5	15	3.04377	0
0.895	2	5	15	3.04377	1
0.895	3	21	15	8.75377	0
0.895	4	21	15	8.75377	1
0.896	1	13	16	6.79147	0
0.896	2	13	16	6.79147	1
0.896	3	26	16	5.71126	0
0.896	4	26	16	5.71126	1
0.897	1	8	17	4.84385	0
0.897	2	8	17	4.84385	1
0.897	3	16	17	2.61875	0
0.897	4	16	17	2.61875	1
0.898	1	4	18	1163.02	0
0.898	2	4	18	1163.02	1
0.903	1	6	23	5.03833	0
0.903	2	6	23	5.03833	1
0.903	3	24	23	2.60051	0
0.903	4	24	23	2.60051	1
0.904	1	11	24	10.8522	0
0.904	2	11	24	10.8522	1
0.904	3	27	24	6.13791	0
0.904	4	27	24	6.13791	1
0.905	1	7	25	6.17014	0
0.905	2	7	25	6.17014	1
0.905	3	30	25	1.81442	0
0.905	4	30	25	1.81442	1
0.906	1	9	26	6.25179	0
0.906	2	9	26	6.25179	1
0.906	3	28	26	7.50306	0
0.906	4	28	26	7.50306	1
0.908	3	22	28	513.386	0
0.908	4	22	28	513.386	1
0.909	3	20	29	1698.86	0
0.909	4	20	29	1698.86	1
0.91	3	23	30	1310.02	0
0.91	4	23	30	1310.02	1
0.961	1	2	1	5.57854	0
0.961	2	2	1	5.57854	1
0.961	3	19	1	2.51809	0
0.961	4	19	1	2.51809	1
0.962	1	14	2	3.42636	0
0.962	2	14	2	3.42636	1
0.962	3	18	2	8.07828	0
0.962	4	18	2	8.07828	1
0.963	1	10	3	5.1592	0
0.963	2	10	3	5.1592	1
0.963	3	29	3	8.44565	0
0.963	4	29	3	8.44565	1
0.964	1	12	4	11.3817	0
0.964	2	12	4	11.3817	1
0.964	3	25	4	5.15054	0
0.964	4	25	4	5.15054	1
0.972	1	1	12	1195.28	0
0.972	2	1	12	1195.28	1
0.973	1	15	13	514.306	0
0.973	2	15	13	514.306	1
0.974	1	3	14	6.51999	0
0.974	2	3	14	6.51999	1
0.974	3	17	14	3.27732	0
0.974	4	17	14	3.27732	1
0.975	1	5	15	3.02817	0
0.975	2	5	15	3.02817	1
0.975	3	21	15	8.90069	0
0.975	4	21	15	8.90069	1
0.976	1	13	16	6.8713	0
0.976	2	13	16	6.8713	1
0.976	3	26	16	5.7239	0
0.976	4	26	16	5.7239	1
0.977	1	8	17	4.93375	0
0.977	2	8	17	4.93375	1
0.977	3	16	17	2.65183	0
0.977	4	16	17	2.65183	1
0.978	1	4	18	1167.11	0
0.978	2	4	18	1167.11	1
0.983	1	6	23	5.07597	0
0.983	2	6	23	5.07597	1
0.983	3	24	23	2.58616	0
0.983	4	24	23	2.58616	1
0.984	1	11	24	10.6689	0
0.984	2	11	24	10.6689	1
0.984	3	27	24	6.27308	0
0.984	4	27	24	6.27308	1
0.985	1	7	25	6.11265	0
0.985	2	7	25	6.11265	1
0.985	3	30	25	1.80604	0
0.985	4	30	25	1.80604	1
0.986	1	9	26	6.30537	0
0.986	2	9	26	6.30537	1
0.986	3	28	26	7.32292	0
0.986	4	28	26	7.32292	1
0.988	3	22	28	519.096	0
0.988	4	22	28	519.096	1
0.989	3	20	29	1703.41	0
0.989	4	20	29	1703.41	1
0.99	3	23	30	1291.26	0
0.99	4	23	30	1291.26	1
1.041	1	2	1	5.59385	0
1.041	2	2	1	5.59385	1
1.041	3	19	1	2.50052	0
1.041	4	19	1	2.50052	1
1.042	1	14	2	3.42605	0
1.042	2	14	2	3.42605	1
1.042	3	18	2	8.17896	0
1.042	4	18	2	8.17896	1
1.043	1	10	3	5.17845	0
1.043	2	10	3	5.17845	1
1.043	3	29	3	8.39825	0
1.043	4	29	3	8.39825	1
1.044	1	12	4	11.3825	0
1.044	2	12	4	11.3825	1
1.044	3	25	4	5.17579	0
1.044	4	25	4	5.17579	1
1.052	1	1	12	1191.78	0
1.052	2	1	12	1191.78	1
1.053	1	15	13	511.543	0
1.053	2	15	13	511.543	1
1.054	1	3	14	6.49157	0
1.054	2	3	14	6.49157	1
1.054	3	17	14	3.32524	0
1.054	4	17	14	3.32524	1
1.055	1	5	15	2.99817	0
1.055	2	5	15	2.99817	1
1.055	3	21	15	9.01991	0
1.055	4	21	15	9.01991	1
1.056	1	13	16	6.91001	0
1.056	2	13	16	6.91001	1
1.056	3	26	16	5.66551	0
1.056	4	26	16	5.66551	1
1.057	1	8	17	5.00238	0
1.057	2	8	17	5.00238	1
1.057	3	16	17	2.68883	0
1.057	4	16	17	2.68883	1
1.058	1	4	18	1169.97	0
1.058	2	4	18	1169.97	1
1.063	1	6	23	4.98781	0
1.063	2	6	23	4.98781	1
1.063	3	24	23	2.5825	0
1.063	4	24	23	2.5825	1
1.064	1	11	24	10.5862	0
1.064	2	11	24	10.5862	1
1.064	3	27	24	6.34236	0
1.064	4	27	24	6.34236	1
1.065	1	7	25	6.17997	0
1.065	2	7	25	6.17997	1
1.065	3	30	25	1.79733	0
1.065	4	30	25	1.79733	1
1.066	1	9	26	6.2044	0
1.066	2	9	26	6.2044	1
1.066	3	28	26	7.25108	0
1.066	4	28	26	7.25108	1
1.068	3	22	28	521.822	0
1.068	4	22	28	521.822	1
1.069	3	20	29	1710.61	0
1.069	4	20	29	1710.61	1
1.07	3	23	30	1294.53	0
1.07	4	23	30	1294.53	1
1.121	1	2	1	5.62689	0
1.121	2	2	1	5.62689	1
1.121	3	19	1	2.47044	0
1.121	4	19	1	2.47044	1
1.122	1	14	2	3.4144	0
1.122	2	14	2	3.4144	1
1.122	3	18	2	8.23145	0
1.122	4	18	2	8.23145	1
1.123	1	10	3	5.14413	0
1.123	2	10	3	5.14413	1
1.123	3	29	3	8.45365	0
1.123	4	29	3	8.45365	1
1.124	1	12	4	11.488	0
1.124	2	12	4	11.488	1
1.124	3	25	4	5.16625	0
1.124	4	25	4	5.16625	1
1.132	1	1	12	1181.98	0
1.132	2	1	12	1181.98	1
1.133	1	15	13	505.994	0
1.133	2	15	13	505.994	1
1.134	1	3	14	6.44442	0
1.134	2	3	14	6.44442	1
1.134	3	17	14	3.33997	0
1.134	4	17	14	3.33997	1
1.135	1	5	15	2.98993	0
1.135	2	5	15	2.98993	1
1.135	3	21	15	9.0644	0
1.135	4	21	15	9.0644	1
1.136	1	13	16	6.92561	0
1.136	2	13	16	6.92561	1
1.136	3	26	16	5.5994	0
1.136	4	26	16	5.5994	1
1.137	1	8	17	5.06369	0
1.137	2	8	17	5.06369	1
1.137	3	16	17	2.6899	0
1.137	4	16	17	2.6899	1
1.138	1	4	18	1178.09	0
1.138	2	4	18	1178.09	1
1.143	1	6	23	4.93798	0
1.143	2	6	23	4.93798	1
1.143	3	24	23	2.58412	0
1.143	4	24	23	2.58412	1
1.144	1	11	24	10.6402	0
1.144	2	11	24	10.6402	1
1.144	3	27	24	6.29491	0
1.144	4	27	24	6.29491	1
1.145	1	7	25	6.19849	0
1.145	2	7	25	6.19849	1
1.145	3	30	25	1.79853	0
1.145	4	30	25	1.79853	1
1.146	1	9	26	6.16461	0
1.146	2	9	26	6.16461	1
1.146	3	28	26	7.21729	0
1.146	4	28	26	7.21729	1
1.148	3	22	28	526.437	0
1.148	4	22	28	526.437	1
1.149	3	20	29	1702.15	0
1.149	4	20	29	1702.15	1
1.15	3	23	30	1307.53	0
1.15	4	23	30	1307.53	1
1.201	1	2	1	5.58069	0
1.201	2	2	1	5.58069	1
1.201	3	19	1	2.48054	0
1.201	4	19	1	2.48054	1
1.202	1	14	2	3.41093	0
1.202	2	14	2	3.41093	1
1.202	3	18	2	8.26814	0
1.202	4	18	2	8.26814	1
1.203	1	10	3	5.07511	0
1.203	2	10	3	5.07511	1
1.203	3	29	3	8.59565	0
1.203	4	29	3	8.59565	1
1.204	1	12	4	11.4832	0
1.204	2	12	4	11.4832	1
1.204	3	25	4	5.10368	0
1.204	4	25	4	5.10368	1
1.212	1	1	12	1171.41	0
1.212	2	1	12	1171.41	1
1.213	1	15	13	502.723	0
1.213	2	15	13	502.723	1
1.214	1	3	14	6.41474	0
1.214	2	3	14	6.41474	1
1.214	3	17	14	3.30991	0
1.214	4	17	14	3.30991	1
1.215	1	5	15	3.01312	0
1.215	2	5	15	3.01312	1
1.215	3	21	15	9.03205	0
1.215	4	21	15	9.03205	1
1.216	1	13	16	6.94884	0
1.216	2	13	16	6.94884	1
1.216	3	26	16	5.57115	0
1.216	4	26	16	5.57115	1
1.217	1	8	17	5.12883	0
1.217	2	8	17	5.12883	1
1.217	3	16	17	2.66197	0
1.217	4	16	17	2.66197	1
1.218	1	4	18	1189.65	0
1.218	2	4	18	1189.65	1
1.223	1	6	23	4.96749	0
1.223	2	6	23	4.96749	1
1.223	3	24	23	2.59204	0
1.223	4	24	23	2.59204	1
1.224	1	11	24	10.7848	0
1.224	2	11	24	10.7848	1
1.224	3	27	24	6.17205	0
1.224	4	27	24	6.17205	1
1.225	1	7	25	6.1923	0
1.225	2	7	25	6.1923	1
1.225	3	30	25	1.8028	0
1.225	4	30	25	1.8028	1
1.226	1	9	26	6.17702	0
1.226	2	9	26	6.17702	1
1.226	3	28	26	7.20421	0
1.226	4	28	26	7.20421	1
1.228	3	22	28	532.002	0
1.228	4	22	28	532.002	1
1.229	3	20	29	1694.67	0
1.229	4	20	29	1694.67	1
1.23	3	23	30	1316.06	0
1.23	4	23	30	1316.06	1
1.281	1	2	1	5.66548	0
1.281	2	2	1	5.66548	1
1.281	3	19	1	2.47885	0
1.281	4	19	1	2.47885	1
1.282	1	14	2	3.48225	0
1.282	2	14	2	3.48225	1
1.282	3	18	2	8.40256	0
1.282	4	18	2	8.40256	1
1.283	1	10	3	5.01907	0
1.283	2	10	3	5.01907	1
1.283	3	29	3	8.6471	0
1.283	4	29	3	8.6471	1
1.284	1	12	4	11.5259	0
1.284	2	12	4	11.5259	1
1.284	3	25	4	5.02322	0
1.284	4	25	4	5.02322	1
1.292	1	1	12	1165.53	0
1.292	2	1	12	1165.53	1
1.293	1	15	13	505.464	0
1.293	2	15	13	505.464	1
1.294	1	3	14	6.37036	0
1.294	2	3	14	6.37036	1
1.294	3	17	14	3.34251	0
1.294	4	17	14	3.34251	1
1.295	1	5	15	3.02412	0
1.295	2	5	15	3.02412	1
1.295	3	21	15	8.99869	0
1.295	4	21	15	8.99869	1
1.296	1	13	16	7.01666	0
1.296	2	13	16	7.01666	1
1.296	3	26	16	5.59271	0
1.296	4	26	16	5.59271	1
1.297	1	8	17	5.20009	0
1.297	2	8	17	5.20009	1
1.297	3	16	17	2.68677	0
1.297	4	16	17	2.68677	1
1.298	1	4	18	1190.87	0
1.298	2	4	18	1190.87	1
1.303	1	6	23	5.04104	0
1.303	2	6	23	5.04104	1
1.303	3	24	23	2.60927	0
1.303	4	24	23	2.60927	1
1.304	1	11	24	10.926	0
1.304	2	11	24	10.926	1
1.304	3	27	24	6.06217	0
1.304	4	27	24	6.06217	1
1.305	1	7	25	6.263	0
1.305	2	7	25	6.263	1
1.305	3	30	25	1.79927	0
1.305	4	30	25	1.79927	1
1.306	1	9	26	6.15303	0
1.306	2	9	26	6.15303	1
1.306	3	28	26	7.20698	0
1.306	4	28	26	7.20698	1
1.308	3	22	28	536.193	0
1.308	4	22	28	536.193	1
1.309	3	20	29	1706.51	0
1.309	4	20	29	1706.51	1
1.31	3	23	30	1313.27	0
1.31	4	23	30	1313.27	1
1.361	1	2	1	5.62432	0
1.361	2	2	1	5.62432	1
1.361	3	19	1	2.49586	0
1.361	4	19	1	2.49586	1
1.362	1	14	2	3.47416	0
1.362	2	14	2	3.47416	1
1.362	3	18	2	8.51851	0
1.362	4	18	2	8.51851	1
1.363	1	10	3	4.94171	0
1.363	2	10	3	4.94171	1
1.363	3	29	3	8.78376	0
1.363	4	29	3	8.78376	1
1.364	1	12	4	11.5044	0
1.364	2	12	4	11.5044	1
1.364	3	25	4	5.03177	0
1.364	4	25	4	5.03177	1
1.372	1	1	12	1160.89	0
1.372	2	1	12	1160.89	1
1.373	1	15	13	510.387	0
1.373	2	15	13	510.387	1
1.374	1	3	14	6.4355	0
1.374	2	3	14	6.4355	1
1.374	3	17	14	3.3264	0
1.374	4	17	14	3.3264	1
1.375	1	5	15	2.95763	0
1.375	2	5	15	2.95763	1
1.375	3	21	15	9.02047	0
1.375	4	21	15	9.02047	1
1.376	1	13	16	7.02723	0
1.376	2	13	16	7.02723	1
1.376	3	26	16	5.5818	0
1.376	4	26	16	5.5818	1
1.377	1	8	17	5.12028	0
1.377	2	8	17	5.12028	1
1.377	3	16	17	2.71652	0
1.377	4	16	17	2.71652	1
1.378	1	4	18	1172.62	0
1.378	2	4	18	1172.62	1
1.383	1	6	23	5.00768	0
1.383	2	6	23	5.00768	1
1.383	3	24	23	2.59309	0
1.383	4	24	23	2.59309	1
1.384	1	11	24	11.057	0
